,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
17051,50,0,24.39,38.4,22.89,37.9,26.39,38.2,24.69285714,36.2,23.39,39.29,14.912,6.898,24.29,38.22571429,24.29,40.4,23.29,44.66571429,15.4,751.7166667,60.33333333,2.0,40.0,7.73,9.660640707999999,9.660640707999999
2911,90,10,22.85666667,46.33333333,21.89,45.59,21.89,46.79,19.6,50.09,20.5,57.67222222,11.6,99.9,19.08333333,50.38166667,21.89,53.0,17.1,51.09,11.6,754.4166667000001,93.5,8.0,25.5,10.6,14.22498614,14.22498614
12868,60,0,21.79,40.59,19.23,44.12666667,22.89,39.7,20.39,38.59,20.0,46.68428571,5.563333332999999,55.79333333,21.7,37.66333333,22.7,41.4,20.13333333,42.23,6.53,751.4666667,96.33333333,1.6666666669999999,29.0,5.97,47.170696500000005,47.170696500000005
8686,30,0,20.89,36.66333333,18.1,39.93333333,20.1,36.59,19.7,34.79,18.79,42.4,3.76,59.96333333,20.0,30.1,22.03333333,42.86666667,18.5,39.7,4.83,766.4,83.0,2.666666667,50.0,2.17,22.30683774,22.30683774
7794,90,20,20.39,38.79333333,18.1,40.69333333,20.63333333,36.3,18.2,37.23,18.0,47.7,2.7,64.49333333,18.53333333,29.13333333,21.5,36.43,18.2,35.59,2.0,743.8,86.0,2.0,40.0,-0.1,30.19432316,30.19432316
4516,40,0,21.79,41.5,20.89,40.59,21.5,42.5225,20.2,42.09,19.1,56.11444444,2.126666667,90.83333333,20.1,40.13277778,22.98166667,47.71,18.6,44.16333333,2.67,747.4666667,94.33333333,2.0,23.66666667,1.83,37.59811639,37.59811639
11334,90,0,21.5,41.33333333,19.96,45.02666667,22.32333333,38.2,20.79,39.12666667,20.0,48.29,11.25666667,29.89,20.79,35.16333333,23.29,41.59,20.5,41.86,8.3,752.5,74.0,5.0,40.0,3.9,49.06638889,49.06638889
3711,60,0,21.0,45.16333333,20.32333333,43.59,21.7,43.86333333,20.0,46.0,21.66111111,87.43722222,9.83,79.13,18.5,41.4,20.42666667,50.97166667,18.89,48.16333333,9.35,752.45,80.5,7.5,40.0,6.1,31.36055695,31.36055695
5308,100,0,20.5,34.95,19.26,34.59,20.02,37.816,19.6,33.93333333,17.79,44.75142857,2.663333333,71.36,19.42666667,26.63333333,21.13333333,33.79,18.0,38.03,3.13,758.8333332999999,68.0,1.333333333,23.66666667,-2.27,30.62389871,30.62389871
2461,40,0,19.29,44.2,18.39,44.12666667,19.79,44.09,17.92666667,44.4,17.16666667,51.96666667,1.9,92.2,18.52777778,38.9,18.50555556,45.49444444,17.1,45.66333333,2.07,765.7166667,90.5,3.166666667,27.0,0.6,14.897680599999997,14.897680599999997
8624,50,0,20.73,33.96666667,19.5,34.36333333,19.89,34.7,20.7,33.29,17.89,55.9,9.463333333,28.39333333,21.2,29.32666667,22.16666667,34.93333333,18.5,39.46666667,9.53,764.8,53.66666667,4.0,35.0,0.5,24.58083669,24.58083669
3755,70,10,21.79,44.19333333,20.82333333,43.66333333,21.39,43.76666667,19.5,45.93333333,19.2,55.98888889,9.463333333,71.76333333,18.79,40.2,20.775,46.10222222,18.79,45.86333333,10.2,746.3,72.33333333,6.166666667,40.0,5.35,24.17674051,24.17674051
15776,20,0,21.5,37.16333333,18.66666667,40.52666667,22.85666667,37.16333333,19.29,37.59,19.1,43.2,5.263333333,53.83333333,19.1,33.59,21.29,44.59,19.1,41.26,4.8,757.4,96.33333333,1.0,40.0,4.23,4.933268903,4.933268903
3808,50,0,21.89,43.93333333,21.2,43.62666667,22.1,44.9,19.0,44.7,19.1,60.775,10.09,71.33,18.79,40.38166667,21.83444444,53.79888889,19.1,49.73,9.87,740.9,77.33333333,8.0,32.66666667,6.03,26.77149415,26.77149415
15385,90,0,20.7,36.66333333,20.2,35.76,21.42666667,35.7,20.76,35.9,19.05,41.59,9.8,20.83333333,19.79,29.46333333,21.2,35.86333333,19.2,34.5,7.55,752.3666667,72.16666667,8.5,27.5,2.88,10.15174633,10.15174633
